"Date","Price","Open","High","Low","Vol.","Change %"
"09/27/2020","4.295","4.332","4.332","4.237","274.90K","-0.84%"
"09/26/2020","4.332","4.423","4.423","4.284","364.95K","-2.06%"
"09/25/2020","4.423","4.388","4.423","4.310","617.78K","0.80%"
"09/24/2020","4.388","4.000","4.388","4.000","544.35K","9.70%"
"09/23/2020","4.000","4.170","4.170","4.000","723.78K","-4.08%"
"09/22/2020","4.170","4.055","4.170","3.958","558.67K","2.83%"
"09/21/2020","4.055","4.682","4.682","4.055","1.40M","-13.38%"
"09/20/2020","4.682","4.930","4.930","4.682","509.06K","-5.04%"
"09/19/2020","4.930","5.253","5.253","4.930","462.13K","-6.15%"
"09/18/2020","5.253","5.344","5.344","5.253","503.20K","-1.78%"
"09/17/2020","5.348","5.071","5.396","5.071","662.62K","5.47%"
"09/16/2020","5.071","5.058","5.188","5.058","433.18K","0.25%"
"09/15/2020","5.058","5.366","5.392","5.058","792.78K","-5.73%"
"09/14/2020","5.366","5.315","5.366","5.315","820.10K","0.95%"
"09/13/2020","5.315","5.157","5.439","5.123","786.74K","3.07%"
"09/12/2020","5.157","4.655","5.157","4.510","622.53K","10.77%"
"09/11/2020","4.655","4.583","4.655","4.425","567.80K","1.58%"
"09/10/2020","4.583","4.696","4.715","4.583","799.20K","-2.41%"
"09/09/2020","4.696","4.271","4.780","4.271","787.23K","9.96%"
"09/08/2020","4.271","4.585","4.585","4.167","731.17K","-6.86%"
"09/07/2020","4.585","4.780","4.780","4.050","1.13M","-4.07%"
"09/06/2020","4.780","4.131","4.780","4.131","1.38M","15.71%"
"09/05/2020","4.131","5.124","5.124","4.131","3.05M","-19.38%"
"09/04/2020","5.124","5.724","5.893","5.102","1.66M","-10.49%"
"09/03/2020","5.724","6.127","6.249","5.724","1.23M","-6.58%"
"09/02/2020","6.127","6.257","6.287","5.927","988.58K","-2.07%"
"09/01/2020","6.257","6.290","6.627","6.257","1.02M","-0.53%"
"08/31/2020","6.290","5.898","6.290","5.898","805.93K","6.78%"
"08/30/2020","5.890","6.150","6.150","5.890","830.84K","-4.22%"
"08/29/2020","6.150","6.170","6.291","6.150","803.57K","-0.32%"
"08/28/2020","6.170","5.652","6.206","5.652","1.61M","9.16%"
"08/27/2020","5.652","6.059","6.570","5.652","2.22M","-6.72%"
"08/26/2020","6.059","5.550","6.391","5.550","2.11M","9.18%"
"08/25/2020","5.550","4.595","5.550","4.595","3.02M","20.81%"
"08/24/2020","4.594","3.977","4.730","3.977","1.56M","15.50%"
"08/23/2020","3.977","4.451","4.451","3.915","1.56M","-10.90%"
"08/22/2020","4.464","3.078","4.464","2.970","4.02M","45.05%"
"08/21/2020","3.078","2.909","3.078","2.909","1.07M","5.80%"
